id,NAME,Address,District,Test Type,geometry,FullAddress
1,Kinder Womens Hospital and Fertility Centre,Kinder Womens Hospital and Fertility Centre  Cherthala,Alappuzha,ANTIGEN,POINT(76.3412744 9.6631736),Kinder Womens Hospital and Fertility Centre  Cherthala  Alappuzha
2,Health Park Medical Centre,Health Park Medical Centre  Alappuzha,Alappuzha,ANTIGEN,POINT( 76.3366629 9.4912659 ),Health Park Medical Centre  Alappuzha
3,Sankar's Healthcare Scans & Diagnostics,Sankar's Healthcare Scans & Diagnostics  Kannampallil Building  Near Medical College  Vandanam  Alappuzha,Alappuzha,ANTIGEN,POINT(76.330781 10.315467),Sankar's Healthcare Scans & Diagnostics  Kannampallil Building  Near Medical College  Vandanam  Alappuzha  Alappuzha
4,Providence Hospital,Providence Hospital  Thumpoly  Alappuzha,Alappuzha,ANTIGEN,POINT(76.327767 9.526216),Providence Hospital  Thumpoly  Alappuzha  Alappuzha
5,Metro Diagnostic Centre,Metro Diagnostic Centre AVA Sona Tower  Near General Hospital  Alappuzha,Alappuzha,ANTIGEN,POINT(76.415145 9.452173),Metro Diagnostic Centre AVA Sona Tower  Near General Hospital  Alappuzha  Alappuzha
6,KVM Superspeciality Hospital,KVM Superspeciality Hospital  Cherthala  Alappuzha,Alappuzha,ANTIGEN,POINT(76.52455 9.28577),KVM Superspeciality Hospital  Cherthala  Alappuzha  Alappuzha
7,Aswathy Fully Automated Lab,Aswathy Fully Automated Lab  General Hospital  Alappuzha,Alappuzha,ANTIGEN,POINT( 76.3397167 9.4902917 ),Aswathy Fully Automated Lab  General Hospital  Alappuzha
8,New Microlab Laboratories,New Microlab Laboratories Opp Govt Girls H.S  Althara Junction Chengannur,Alappuzha,ANTIGEN,POINT(76.584263 9.270202),New Microlab Laboratories Opp Govt Girls H.S  Althara Junction Chengannur  Alappuzha
9,Doctors Diagnostic Clinic,Doctors Diagnostic Clinic  kumbalath Building  Haripad  Kerala,Alappuzha,ANTIGEN,POINT(76.331452 9.95061),Doctors Diagnostic Clinic  kumbalath Building  Haripad  Kerala  Alappuzha
10,STM Lab,STM Lab  Vandanam  Alappuzha,Alappuzha,ANTIGEN,POINT(76.338066 9.684106),STM Lab  Vandanam  Alappuzha  Alappuzha
11,HUDA TRUST HOSPITAL,HUDA TRUST HOSPITAL  KUMARAPURAM P.O  HARIPAD  Alappuzha,Alappuzha,ANTIGEN,POINT(76.415145 9.452173),HUDA TRUST HOSPITAL  KUMARAPURAM P.O  HARIPAD  Alappuzha  Alappuzha
12,Sahrudaya Hospital,Sahrudaya Hospital  Thathampally P.O  Alappuzha,Alappuzha,ANTIGEN,POINT(76.3418646 9.5053603),Sahrudaya Hospital  Thathampally P.O  Alappuzha  Alappuzha
13,Ebenezer Hospital,Ebenezer Hospital  Kayamkulam  Alappuzha,Alappuzha,ANTIGEN,POINT(76.4997033 9.1735507),Ebenezer Hospital  Kayamkulam  Alappuzha  Alappuzha
14,Lourdes Matha Hospital,Lourdes Matha Hospital  Pacha  Alappuzha,Alappuzha,ANTIGEN,POINT(76.331265 9.465943),Lourdes Matha Hospital  Pacha  Alappuzha  Alappuzha
15,Midas Scan and laboratory,Midas Scan and laboratory  General Hospital Junction  Alappuzha,Alappuzha,ANTIGEN,POINT(76.339556 9.682944),Midas Scan and laboratory  General Hospital Junction  Alappuzha  Alappuzha
16,SANKAR'S HEALTHCARE SCANS & DIAGNOSTICS,SANKAR'S HEALTHCARE SCANS & DIAGNOSTICS  Sankars Bolla Tower  Near General Hospital  Alappuzha,Alappuzha,ANTIGEN,POINT(76.330781 10.315467),SANKAR'S HEALTHCARE SCANS & DIAGNOSTICS  Sankars Bolla Tower  Near General Hospital  Alappuzha  Alappuzha
17,Chethana Janakeeya Lab,Chethana Janakeeya Lab  TDMC P O  Alappuzha,Alappuzha,ANTIGEN,POINT(76.313945 9.630228),Chethana Janakeeya Lab  TDMC P O  Alappuzha  Alappuzha
18,Biovision India Specialty Diagnostic Centre,Biovision India Specialty Diagnostic Centre  Thazhakkara  Mavelikkara,Alappuzha,ANTIGEN,POINT( 76.5515327 9.2545450 ),Biovision India Specialty Diagnostic Centre  Thazhakkara  Mavelikkara
19,Mahajubilee Memorial Hospital,Mahajubilee Memorial Hospital  Edathua,Alappuzha,ANTIGEN,POINT(76.611486 9.319854),Mahajubilee Memorial Hospital  Edathua  Alappuzha
20,St. Sebastians Visitisation Hospital,St. Sebastians Visitisation Hospital  Arthunkal  Cherthala,Alappuzha,ANTIGEN,POINT(76.30434 9.646277),St. Sebastians Visitisation Hospital  Arthunkal  Cherthala  Alappuzha
21,Sanjivani Multispecialty Hospital,Sanjivani Multispecialty Hospital  situated in Kollakadavu  Chengannur  Alappuzha,Alappuzha,ANTIGEN,POINT(76.59617 9.259224),Sanjivani Multispecialty Hospital  situated in Kollakadavu  Chengannur  Alappuzha  Alappuzha
22,Sree Narayana Medical Mission Hospital,Sree Narayana Medical Mission Hospital  Cherthala  Alappuzha,Alappuzha,ANTIGEN,POINT(76.3413481 9.6744309),Sree Narayana Medical Mission Hospital  Cherthala  Alappuzha  Alappuzha
23,KERALA DIAGNOSTIC CENTRE,KERALA DIAGNOSTIC CENTRE  KOSIA BUILDING  OPP:RAIBAN THEATRE  GENERAL HOSPITAL JUNCTION  ALAPPUZHA,Alappuzha,ANTIGEN,POINT(76.337986 9.470125),KERALA DIAGNOSTIC CENTRE  KOSIA BUILDING  OPP:RAIBAN THEATRE  GENERAL HOSPITAL JUNCTION  ALAPPUZHA  Alappuzha
24,POOCHAKKAL MEDICAL CENTRE,POOCHAKKAL MEDICAL CENTRE  POOCHAKKAL P O  CHERTHALA  ALAPPUZHA,Alappuzha,ANTIGEN,POINT(76.568905 9.176441),POOCHAKKAL MEDICAL CENTRE  POOCHAKKAL P O  CHERTHALA  ALAPPUZHA  Alappuzha
25,KCM Hospital,KCM Hospital  LS PO  Nooranad  Alappuzha,Alappuzha,ANTIGEN,POINT( 76.6245194 9.1753250 ),KCM Hospital  LS PO  Nooranad  Alappuzha
26,St Thomas Mission Hospital,St Thomas Mission Hospital  Pallickal Po  Kattanam  Alappuzha,Alappuzha,ANTIGEN,POINT(76.581544 9.168826),St Thomas Mission Hospital  Pallickal Po  Kattanam  Alappuzha  Alappuzha
