id,Name,Address,District,Test Type,geometry
1,National Institute of Virology,"National Institute of Virology, Field Unit, Allapuzha",Allapuzha,RT-PCR,POINT(76.3410112 9.4185178)
2,Government  Medical College,"Government  Medical College, Thiruvanathapuram",Thiruvanathapuram,RT-PCR,POINT(76.929326 8.523008)
3,Government  Medical College,"Government  Medical College, Kozhikode",Kozhikode,RT-PCR,POINT(75.8378943985366 11.273423)
4,Government Medical College,"Government Medical College, Thrissur",Thrissur,RT-PCR,POINT(76.196582 10.618723)
5, Rajiv Gandhi Center for Biotechnology," Rajiv Gandhi Center for Biotechnology, Thiruvanathapuram",Thiruvanathapuram,RT-PCR,POINT(76.9646858 8.4923597)
6, Sree Chitra Tirunal Institute of Medical Sciences," Sree Chitra Tirunal Institute of Medical Sciences, Thiruvanathapuram",Thiruvanathapuram,RT-PCR,POINT(76.924181 8.5212499)
7, State Public Health Laboratory," State Public Health Laboratory, Trivandrum",Thiruvanathapuram,RT-PCR,POINT(76.937278 8.4982773)
8,Inter University,"Inter University, Kottayam",Kottayam,RT-PCR,POINT(76.5795496 9.5760936)
9,Malabar Cancer Center,"Malabar Cancer Center, Thalassery",Kannur,RT-PCR,POINT(75.608858 11.702496)
10,Central University of Kerala,"Central University of Kerala, Periye, Kasaragod",Kasaragod,RT-PCR,POINT(75.093385 12.39299)
11,Government Medical College,"Government Medical College, Ernakulum",Ernakulum,RT-PCR,POINT(76.3533868 10.0523896)
12,Government  Medical College,"Government  Medical College, Manjeri",Malappuram,RT-PCR,POINT(76.122223 11.11777)
13,Government  Medical College,"Government  Medical College, Kottayam",Kottayam,RT-PCR,POINT(76.520375 9.632889)
14,Government Medical College,"Government Medical College, Kannur",Kannur,RT-PCR,POINT(75.293405 12.071255)
15,Indian Institute of Science Education and Research (IISER),"Indian Institute of Science Education and Research (IISER), Thiruvanathapuram",Thiruvanathapuram,RT-PCR,POINT(77.1366448 8.6829153)
16, Government Medical College," Government Medical College, Palakkad",Palakkad,RT-PCR,POINT(76.664826 10.751288)
17,Regional Public Health Laboratory,"Regional Public Health Laboratory, Pathanamthitta",Pathanamthitta,TRUENAT,"POINT(9.3365222,76.7040024)"
18,Government Medical College Hospital,"Government Medical College Hospital, Kollam",Kollam,TRUENAT,POINT(76.749936 8.811635)
19,Government TD Medical College,"Government TD Medical College, Alappuzha",Alappuzha,TRUENAT,POINT(76.3452323 9.4081227)
20,District Public Health Laboratory,"District Public Health Laboratory, Wayanad",Wayanad,TRUENAT,POINT(75.9997541 11.8006107)
21,District TB Centre,"District TB Centre, Palakkad",Palakkad,TRUENAT,POINT(76.658532 10.759704)
22,INHS Sanjivani,"INHS Sanjivani, Kochi",Ernakulam,TRUENAT,POINT(76.2804737 9.9468464)
23,District Public Health Laboratory,"District Public Health Laboratory, Kollam",Kollam,TRUENAT,POINT(76.5834383 8.8878333)
24,Government Medical College,"Government Medical College, Idukki",Idukki,TRUENAT,POINT(76.960778 9.8484)
25,District Hospital Palakkad,District Hospital Palakkad,Palakkad,TRUENAT,POINT(76.6512469 10.7691989)
26,District TB Centre,"District TB Centre, Kottayam",Kottayam,CB NAAT,POINT(76.526674 9.591198)
27,Regional Cancer Centre,"Regional Cancer Centre, Thiruvananthapuram",Thiruvanathapuram,CB NAAT,POINT(76.925193 8.52078)
